変換前,変換後
Pneumatic Coil Nailer,エア釘打
Pneumatic Framing Nailer,エア釘打
Pneumatic Nailer,エア釘打
Pneumatic Pallet Coil Nailer,エア釘打
Pneumatic Roofing Coil Nailer,エア釘打
Pneumatic Japanese-Style Ceilings Nailer,エア釘打
Pneumatic Metal Roofing Nailer,エア釘打
Pneumatic Siding Boards Nailer,エア釘打
Pneumatic Steel Plates Nailer,エア釘打
Pneumatic Wave Corrugated Stapler,エア釘打
Cordless Clipped Head Framing Nailer,ガス釘打
Cordless Concrete Nailer,コンクリート用ガスピン打ち機
Pneumatic Concrete Nailer,コンクリート用高圧エアピン打ち機
Air Nailer,バラ釘打
Hand Collator,バラ釘打
Pin Nailer,ピンタッカ
Pneumatic Pin Nailer,ピンタッカ
Construction Coil Nailer,高圧エア釘打
Pneumatic Coil Nailer,高圧エア釘打
Pneumatic Roofing Coil Nailer,高圧エア釘打
High Pressure Siding Coil Nailer,高圧エア釘打
Pneumatic Pin Nailer,高圧ピンタッカ
Pneumatic Pallet Coil Nailer,梱包用エア釘打
Pin Nailer,仕上釘打
Pneumatic Brad Nailer,仕上釘打
Pneumatic Finish Nailer,仕上釘打
Pneumatic Framing Nailer,仕上釘打
Pneumatic Nailer,仕上釘打
Pneumatic Nailer,仕上釘打
Cordless Pin Nailer,充電式ピンタッカ
Cordless Brad Nailer,充電式仕上釘打
Cordless Finish Nailer,充電式仕上釘打
Cordless Framing Nailer,充電式釘打
Pneumatic Brad Nailer,エア高圧ブラッド釘打
Cordless Olive Harvester,充電式オリーブハーベスタ
Planer,カンナ
Power Planer,カンナ
Curved Planer,カンナ
Planer,自動カンナ
Planer Jointer,自動カンナ
Cordless Planer,充電式カンナ
Concrete Planer,コンクリートカンナ
Wood Surfacer,電気超仕上カンナ
Plate Joiner,ジョイントカッタ
Cordless Plate Joiner,充電式ジョイントカッタ
Band Saw,バンドソー
Metal Band Saw,バンドソー
Portable Band Saw,ポータブルバンドソー
Cordless Portable Band Saw,充電式ポータブルバンドソー
Portable Power Pack,ポータブル電源ユニット
Pump,エンジンポンプ
Outdoor Pump,エンジンポンプ
Submersible Pump,水中ポンプ
Shallow Well Pump,電気ポンプ
Job Site Charger Radio,充電機能付ラジオ
Cordless Job Site Speaker,充電式スピーカ
Flashlight Radio,充電式ライト付ラジオ
Job Site DAB Radio,充電式ラジオ
Job Site DAB/DAB+ Radio,充電式ラジオ
Job Site Radio,充電式ラジオ
Rechargeable Battery Cordless Radio,充電式ラジオ
Cordless Radio with Lantern,充電式ランタン付ラジオ
Cordless Rebar Tying Tool,充電式鉄筋結束機
Recipro Saw,レシプロソー
Cordless Recipro Saw,充電式レシプロソー
Cordless Rivet Gun,充電式リベッタ
Robotic Cleaner,ロボットクリーナ
Rotary Scissors Attachment,ロータリーハサミ刃アタッチメント
Snow Blower Attachment,除雪アタッチメント
Weeding Attachment,除草アタッチメント
Blower Attachment,ブロワアタッチメント
（芝生バリカン用ACC？）,ロングハンドルアタッチメント
Power Brush Attachment,ブラシアタッチメント
Ground Trimmer Attachment,グラウンドトリマアタッチメント
Edger Attachment,エッジャアタッチメント
Brushcutter Attachment,草刈アタッチメント
Grass Trimmer Attachment,草刈アタッチメント
String Trimmer Attachment,草刈アタッチメント
Grass Trimmer Attachment,刈払アタッチメント
String Trimmer Attachment,刈払アタッチメント
Coffee Harvester Attachment,コーヒーハーベスタアタッチメント
Cultivator Attachment,カルチベータアタッチメント
Hedge Trimmer Attachment,ヘッジトリマアタッチメント
Pole Hedge Trimmer Attachment,ヘッジトリマアタッチメント
Pole Saw Attachment,ポールソーアタッチメント
Power Sweep Attachment,パワースイープアタッチメント
Pump Attachment,ポンプアタッチメント
Shaft Extension Attachment,延長ポールアタッチメント
Sash Router,サッシルータ
Trimmer,トリマ
Cut-out Tool,ボードトリマ
Router,ルータ
Dado Router,ルータ
Cordless Trimmer,充電式トリマ
Cordless Cut-Out Tool,充電式ボードトリマ
Cordless Router,充電式ルータ
Orbital Sander,オービタルサンダ
Sander Polisher,サンダポリッシャ
Angle Sander,ディスクサンダ
Disc Sander,ディスクサンダ
Belt Sander,ベルトサンダ
Polisher,ポリッシャ
Car Polisher,ポリッシャ
Random Orbit Sander,ランダムオービットサンダ
Dual Action Sander,ランダムオービットサンダ
Random Orbit Sander,ランダムオービットサンダ
Random Orbit Polisher,ランダムオービットポリッシャ
Finishing Sander,仕上サンダ
Cordless Sander Polisher,充電式サンダポリッシャ
Cordless Drywall Sander,充電式ドライウォールサンダ
Cordless Belt Sander,充電式ベルトサンダ
Cordless Pipe Belt Sander,充電式ベルトサンダ
Battery Powered Random Orbit Sander,充電式ランダムオービットサンダ
Cordless Random Orbit Sander,充電式ランダムオービットサンダ
Cordless Random Orbit Polisher,充電式ランダムオービットポリッシャ
Cordless Finishing Sander,充電式仕上サンダ
Stone Polisher,電子石材用ポリッシャ
Cordless Finishing Sander,充電式防じんミニサンダ
Battery Powered Orbital Sander,充電式オービタルサンダ
Cordless Polisher,充電式ポリッシャ
Electric Scarifier,電気スカリファイヤ
Cordless Scarifier,充電式スカリファイヤ
Scarifier Gasoline,エンジンスカリファイヤ
2-Speed Screwdriver,2スピードスクリュードライバ
Auto Feed Screwdriver,オートパックスクリュードライバ
Drywall Screwdriver,スクリュードライバ
Screwdriver,スクリュードライバ
Drywall Screwdriver,ボード用スクリュードライバ
Pneumatic Auto Feed Coil Screwdriver,高圧エアビス打ち機
Cordless Angle Screwdriver,充電式アングルスクリュードライバ
Cordless Auto Feed Screwdriver,充電式オートパックスクリュードライバ
Cordless Angle Socket Driver,充電式スクリュードライバ
Cordless Screwdriver,充電式スクリュードライバ
In-Line Cordless Screwdriver,充電式ペンスクリュードライバ
Battery Drywall Screwdriver,充電式ボード用スクリュードライバ
Pneumatic Screwdriver,高圧エアスクリュードライバ
Scroll Saw,糸ノコ盤
Shear Wrench,シャーレンチ
Angle Control Wrench,シャーレンチ
Cordless Shear Wrench,充電式シャーレンチ
Metal Shear,シャー
Shear,シャー
Straight Shear,シャー
Straight Metal Shear,ストレートシャー
Straight Shear,ストレートシャー
Nibbler,ニブラ
Cordless Metal Shear,充電式ストレートシャー
Cordless Straight Shear,充電式ストレートシャー
Cordless Nibbler,充電式ニブラ
Cordless Metal Shear,充電式シャー
Electric Shredder,ガーデンシュレッダ
Shredder,ガーデンシュレッダ
Shredder,エンジンガーデンシュレッダ
Die Grinder,ハンドグラインダ
Die Grinder,ミニグラインダ
Mini Grinder,ミニグラインダ
Cordless Die Grinder,充電式ハンドグラインダ
Sprayer,エンジン噴霧器
Cordless Garden Sprayer,充電式噴霧器
Sprayer,充電式噴霧器
Cordless Spray Gun,充電式噴霧器
Air Tacker,エアタッカ
Medium Crown Stapler,エアタッカ
Narrow Crown Stapler,エアタッカ
Pneumatic Stapler,エアタッカ
Wide Crown Stapler,エアタッカ
Hammer Tacker,ハンマタッカ
Medium Crown Stapler,高圧フロアタッカ
Narrow Crown Stapler,高圧フロアタッカ
Cordless Narrow Crown Stapler,充電式タッカ
Cordless Stapler,充電式タッカ
Cordless Narrow Crown Stapler,充電式フロアタッカ
Pneumatic Stapler,高圧エアタッカ
Cordless Steel Rod Cutter,充電式全ネジカッタ
Cordless Threaded Rod Cutter,充電式全ネジカッタ
Cordless Steel Rod Cutter,充電式鉄筋カッタ
Steel Rod Cutter,鉄筋カッタ
Stone Grinder,石材グラインダ
Straight Grinder,ポータブルグラインダ
Blade Sharpener,研磨機
Sharpener,研磨機
Planer Blade Sharpner,研磨機
T.C.T. Saw Blade Sharpener,研磨機
Tapper,タッパー
Corded and Cordless Vacuum Cleaner,ハイブリッド集じん機
Dust Collector,集じん機
Vacuum Cleaner,集じん機
Portable Vacuum Cleaner,集じん機
Small Vacuum Cleaner,集じん機
Cordless Upright Cleaner,充電式アップライトクリーナ
Cordless Cyclone Cleaner,充電式サイクロンクリーナ
Cordless Portable Vacuum Cleaner,充電式集じん機
Cordless Vacuum Cleaner,充電式集じん機
Cordless Backpack Vacuum Cleaner,充電式背負集じん機
Cordless Backpack Vacuum Cleaner,充電式背負クリーナ
Cordless Vacuum Cleaner,充電式ドライクリーナ
Cordless Vacuum Pump,充電式真空ポンプ
Rechargeable Wall Scanner,充電式ウォールディテクタ
Wheel Sander,ホイールサンダ
Battery Powered Wheelbarrow,充電式運搬車
Battery,バッテリ
AA Battery Pack,バッテリ
Power Source Kit,バッテリ
Portable Power Pack,【使用不可】ポータブル電源ユニット
Portable Battery Checker,バッテリチェッカ
Battery Charging Case,充電器
Charger,充電器
Fast Charger,充電器
Automatic Refreshing Adapter,充電器
Refreshing Adapter,充電器
Two Port Multi Charger,充電器
Two Port Multi Fast Charger,充電器
Adapter for USB,シガーソケット用アダプタ
Adapter for USB,USB用アダプタ
Battery Adapter,バッテリアダプタ
Battery Converter,バッテリアダプタ
Interchangeable Adapter,バッテリアダプタ
Power Converter,DC/ACインバーター
Robotic Mower,ロボットモア
Primary Fastening Wrench,一次締めレンチ
Bridge Primary Fastening Wrench,一次締めレンチ
Cordless primary fastening wrench,充電式一次締めレンチ
Cordless Vacuum Sweeper,充電式スイーパ
Cordless Polisher Scrubber,充電式スクラバー
Cordless Cable Cutter,充電式ケーブルカッタ
Cordless Crimper,充電式圧縮機
Cordless Crimper,充電式圧着機
Chain Hoist,ホイスト
Power Trowel,コテ
Cordless Job Site Television With Radio,テレビ
Cordless Backpack Mist Blower,充電式背負ミストブロワ
Pneumatic Nail Puller,エア釘抜
Rebar Bender,電気鉄筋ベンダ
Tenonning Machine,電気ホゾキリ
